username,name,gender,age,location,bio,picture,behavior,class,role,isLLMDriven,behaviorPrompt
melaniemartinez,Melanie,Female,,,,user22.jpeg,,
fearlesstaylor,Chao,Female,,,,user14.jpg,,
amie_barrie,Amie,Female,,,,user25.jpg,,
s0ngsaboutme,Song,Female,,,,user19.jpg,,
butter.me.up,Brennan,Female,,,,user29.jpg,,
eli27094jdkm,Erica,Female,,,,user34.jpg,,
taylorandsons_,Jennah,Female,,,,user42.jpg,,
takeme_church,Zachary,Male,,,,user46.jpg,"This simulated user always acts as an upstanding online citizen and tries to defuse situations",
lkj1xm98gj,Evan,Male,,,,user48.jpeg,,
hyemincho,Hyemin,Female,,,,user39.jpg,,
amyoko_,Amy,Female,,,,user55.jpg,,
